Company_Name,Headquarters_Location,Year_Founded,Employee_Count,Annual_Revenue_Billion_USD,Market_Segment,Location,Server_Count,Graphics_Cards_Used,Total_Storage_TB,Average_Uptime_Percentage,Server_Type,Electricity_Rate_USD_per_kWh,Hours_Operated,Power_Usage_Watts,Electricity_Cost_USD,Manufacturer,Model,Memory_Size_GB,Core_Clock_MHz,Boost_Clock_MHz,Memory_Type,TDP_Watts,Price_USD
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,50.0,"RT300-6, Elite4K-5, Pro1000-13, RT300-20, GX500-14",953.0,99.28,Type D,0.12,1000.0,1212.0,145.44,NVIDIA,RT300-1,16.0,2000.0,2500.0,GDDR5,204.0,639.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,50.0,"Pro1000-6, Elite4K-16",757.0,99.57,Type E,0.1,2000.0,971.0,194.2,AMD,RT300-2,16.0,1500.0,1500.0,GDDR6,272.0,1409.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,50.0,"GX500-15, Elite4K-10, Elite4K-14, Pro1000-8",714.0,98.7,Type A,0.15,1000.0,1104.0,165.6,Intel,RT300-3,8.0,2000.0,2500.0,GDDR5,254.0,356.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,500.0,"RT300-8, Elite4K-18, RT300-10, AX900-2, Pro1000-10",722.0,98.39,Type C,0.25,3000.0,1190.0,892.5,NVIDIA,RT300-4,16.0,2000.0,3000.0,GDDR5,292.0,805.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,500.0,"Elite4K-7, Pro1000-6, AX900-18, AX900-13",946.0,99.37,Type E,0.2,5000.0,1488.0,1488.0,Intel,RT300-5,16.0,1000.0,1500.0,GDDR5,61.0,1095.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,50.0,"RT300-18, Pro1000-9, RT300-12",685.0,99.94,Type B,0.2,3000.0,1478.0,886.8,Intel,RT300-6,12.0,1000.0,2000.0,GDDR6X,125.0,1116.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,500.0,"RT300-9, AX900-14, Elite4K-7, Elite4K-18",777.0,99.4,Type B,0.12,1000.0,1055.0,126.6,Intel,RT300-7,16.0,2500.0,1500.0,GDDR5,238.0,330.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,200.0,"RT300-5, Pro1000-18, AX900-1, Elite4K-13, RT300-1",383.0,98.94,Type A,0.15,4000.0,1090.0,654.0,Intel,RT300-8,4.0,2000.0,3000.0,GDDR6X,101.0,1187.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,200.0,Pro1000-13,648.0,98.39,Type A,0.2,5000.0,520.0,520.0,AMD,RT300-9,12.0,2500.0,1500.0,GDDR6,75.0,1250.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,10.0,"Elite4K-6, Elite4K-8, Pro1000-19",114.0,99.15,Type C,0.25,3000.0,552.0,414.0,Intel,RT300-10,4.0,1500.0,2500.0,GDDR6,88.0,232.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,100.0,"GX500-3, Elite4K-2, RT300-9, RT300-15, GX500-5",375.0,100.0,Type B,0.15,2000.0,1158.0,347.4,Intel,RT300-11,4.0,2000.0,2500.0,GDDR6,120.0,1423.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,100.0,"RT300-13, AX900-11",623.0,98.83,Type D,0.1,2000.0,852.0,170.4,Intel,RT300-12,16.0,2000.0,3000.0,GDDR5,298.0,710.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,500.0,"GX500-3, Pro1000-5, Pro1000-1, RT300-4",531.0,99.1,Type B,0.2,2000.0,997.0,398.8,NVIDIA,RT300-13,4.0,2500.0,3000.0,GDDR6X,123.0,1109.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,500.0,RT300-11,177.0,98.98,Type B,0.15,3000.0,1104.0,496.8,AMD,RT300-14,24.0,2000.0,1500.0,GDDR6X,127.0,338.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,50.0,"Elite4K-9, Pro1000-6, Elite4K-7, Elite4K-18, RT300-13",461.0,99.65,Type E,0.12,1000.0,1022.0,122.64,Intel,RT300-15,24.0,2000.0,1500.0,GDDR5,162.0,816.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,200.0,"RT300-18, RT300-16, RT300-15, AX900-5, AX900-2",837.0,99.2,Type D,0.12,4000.0,890.0,427.2,NVIDIA,RT300-16,8.0,2500.0,3000.0,GDDR6,216.0,791.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,500.0,"GX500-12, Pro1000-17, RT300-10",712.0,99.61,Type B,0.2,3000.0,1171.0,702.6,Intel,RT300-17,4.0,1500.0,1500.0,GDDR6,154.0,1040.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Australia,500.0,"RT300-18, Elite4K-8, Pro1000-8, AX900-11, RT300-7",260.0,99.48,Type D,0.2,5000.0,613.0,613.0,NVIDIA,RT300-18,16.0,1000.0,1500.0,GDDR5,191.0,795.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,500.0,"Elite4K-19, Elite4K-6, AX900-14, AX900-17, Elite4K-12",161.0,98.19,Type B,0.25,2000.0,689.0,344.5,Intel,RT300-19,24.0,1500.0,1500.0,GDDR5,77.0,214.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,200.0,Pro1000-16,347.0,99.38,Type E,0.25,5000.0,644.0,805.0,AMD,RT300-20,4.0,1000.0,1500.0,GDDR6X,192.0,943.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,500.0,"RT300-10, RT300-3, Pro1000-1, AX900-4, AX900-17",866.0,99.71,Type E,0.15,4000.0,1377.0,826.2,NVIDIA,AX900-1,4.0,1000.0,1500.0,GDDR5,298.0,640.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Australia,500.0,"AX900-8, GX500-5, AX900-11, Pro1000-15, AX900-1",872.0,99.26,Type A,0.25,5000.0,996.0,1245.0,NVIDIA,AX900-2,24.0,1500.0,2500.0,GDDR6X,256.0,710.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,10.0,"AX900-12, GX500-3, GX500-5, Elite4K-16, RT300-12",939.0,98.09,Type C,0.25,2000.0,1320.0,660.0,Intel,AX900-3,16.0,2000.0,2500.0,GDDR6X,129.0,784.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,10.0,"AX900-8, AX900-5, AX900-4, Pro1000-6",520.0,99.43,Type E,0.1,4000.0,1399.0,559.6,Intel,AX900-4,4.0,1500.0,2500.0,GDDR6X,78.0,214.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,50.0,"Elite4K-20, Pro1000-4, RT300-5",468.0,98.11,Type E,0.15,1000.0,997.0,149.55,Intel,AX900-5,12.0,2500.0,1500.0,GDDR5,206.0,503.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,500.0,"RT300-10, Elite4K-19",762.0,98.47,Type A,0.2,2000.0,663.0,265.2,NVIDIA,AX900-6,4.0,1500.0,1500.0,GDDR6X,203.0,793.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,200.0,GX500-11,321.0,99.4,Type E,0.25,2000.0,693.0,346.5,Intel,AX900-7,8.0,2500.0,1500.0,GDDR6X,100.0,246.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,50.0,"Elite4K-16, Elite4K-19, Elite4K-10, AX900-1",135.0,98.61,Type C,0.15,4000.0,688.0,412.8,NVIDIA,AX900-8,24.0,2500.0,3000.0,GDDR6,219.0,725.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,200.0,"RT300-2, Elite4K-18, Elite4K-13",849.0,99.4,Type C,0.2,1000.0,700.0,140.0,NVIDIA,AX900-9,12.0,2000.0,1500.0,GDDR6,164.0,786.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,500.0,"AX900-8, Pro1000-7, Elite4K-10, RT300-15, Pro1000-5",341.0,98.7,Type A,0.2,5000.0,1237.0,1237.0,AMD,AX900-10,24.0,1000.0,2500.0,GDDR6X,219.0,982.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,200.0,"GX500-4, RT300-1, AX900-3, AX900-19, AX900-1",667.0,99.46,Type B,0.25,4000.0,1064.0,1064.0,Intel,AX900-11,24.0,1000.0,3000.0,GDDR5,239.0,374.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,50.0,"RT300-12, Pro1000-11, RT300-1, GX500-15, RT300-5",957.0,98.86,Type B,0.15,4000.0,1374.0,824.4,NVIDIA,AX900-12,4.0,2500.0,2500.0,GDDR6X,288.0,814.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,50.0,RT300-9,341.0,98.17,Type B,0.15,3000.0,538.0,242.1,NVIDIA,AX900-13,24.0,1000.0,3000.0,GDDR6,98.0,1149.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Australia,50.0,"AX900-8, Pro1000-9",902.0,98.68,Type A,0.12,3000.0,509.0,183.24,Intel,AX900-14,4.0,1500.0,2500.0,GDDR6X,182.0,1250.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,200.0,"RT300-2, Elite4K-20, GX500-5, Elite4K-3, Pro1000-15",117.0,98.82,Type B,0.12,1000.0,1188.0,142.56,Intel,AX900-15,4.0,2500.0,2500.0,GDDR6,97.0,1172.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,200.0,"RT300-20, AX900-16, AX900-14, GX500-19",320.0,98.72,Type D,0.1,5000.0,1201.0,600.5,Intel,AX900-16,4.0,2000.0,2000.0,GDDR6,266.0,718.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Australia,10.0,"GX500-4, Pro1000-4, GX500-6",226.0,99.63,Type A,0.25,2000.0,1290.0,645.0,NVIDIA,AX900-17,12.0,1500.0,1500.0,GDDR6,57.0,620.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Australia,200.0,"GX500-4, GX500-11",681.0,98.17,Type B,0.2,5000.0,972.0,972.0,Intel,AX900-18,4.0,2500.0,1500.0,GDDR5,287.0,422.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,10.0,"RT300-1, Elite4K-14, Elite4K-8",428.0,99.0,Type D,0.1,2000.0,1396.0,279.2,Intel,AX900-19,12.0,1000.0,1500.0,GDDR6X,226.0,609.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,100.0,"RT300-12, RT300-10, Elite4K-20, RT300-13",886.0,98.3,Type B,0.25,3000.0,1088.0,816.0,NVIDIA,AX900-20,24.0,2000.0,2000.0,GDDR5,201.0,1354.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,100.0,"GX500-11, AX900-15, Elite4K-20, AX900-6, AX900-2",424.0,98.44,Type E,0.1,1000.0,715.0,71.5,NVIDIA,Pro1000-1,16.0,2000.0,3000.0,GDDR5,241.0,279.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,50.0,"AX900-8, AX900-11, AX900-3",642.0,98.03,Type E,0.2,4000.0,655.0,524.0,AMD,Pro1000-2,8.0,1500.0,1500.0,GDDR5,256.0,1254.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,200.0,"RT300-17, AX900-15, AX900-18, AX900-10, RT300-1",862.0,99.54,Type B,0.12,3000.0,1032.0,371.52,Intel,Pro1000-3,12.0,2000.0,2000.0,GDDR6X,295.0,1307.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,200.0,"Elite4K-2, Elite4K-3",430.0,98.53,Type D,0.12,1000.0,1396.0,167.52,AMD,Pro1000-4,8.0,1000.0,3000.0,GDDR6,133.0,1220.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,200.0,"Elite4K-16, Elite4K-12, RT300-6",167.0,99.37,Type C,0.2,5000.0,766.0,766.0,Intel,Pro1000-5,16.0,2000.0,3000.0,GDDR5,114.0,765.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,500.0,"Pro1000-8, GX500-3, Elite4K-13",715.0,99.74,Type B,0.1,4000.0,932.0,372.8,AMD,Pro1000-6,12.0,2500.0,2500.0,GDDR6X,226.0,1463.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,100.0,"RT300-6, Pro1000-5",968.0,98.13,Type A,0.15,3000.0,1024.0,460.8,AMD,Pro1000-7,16.0,2500.0,3000.0,GDDR6X,183.0,1085.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,10.0,"Pro1000-10, Elite4K-3",285.0,99.33,Type E,0.2,2000.0,743.0,297.2,NVIDIA,Pro1000-8,24.0,2500.0,3000.0,GDDR5,88.0,1132.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,500.0,"RT300-20, GX500-17, GX500-14",877.0,98.86,Type E,0.1,3000.0,850.0,255.0,Intel,Pro1000-9,24.0,1500.0,1500.0,GDDR6X,88.0,1314.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,50.0,GX500-17,795.0,99.46,Type A,0.1,3000.0,1367.0,410.1,NVIDIA,Pro1000-10,24.0,1000.0,1500.0,GDDR5,83.0,782.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,100.0,Elite4K-7,506.0,99.16,Type E,0.25,2000.0,770.0,385.0,AMD,Pro1000-11,8.0,1500.0,2500.0,GDDR6,100.0,1142.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,10.0,RT300-1,710.0,98.81,Type B,0.12,1000.0,726.0,87.12,AMD,Pro1000-12,12.0,1500.0,2500.0,GDDR6X,84.0,1404.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,100.0,"RT300-16, RT300-6, RT300-5, AX900-1, AX900-10",771.0,98.72,Type C,0.12,2000.0,931.0,223.44,AMD,Pro1000-13,24.0,1000.0,3000.0,GDDR6,300.0,779.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,500.0,"GX500-15, AX900-9, GX500-9, GX500-14, Elite4K-8",810.0,98.32,Type E,0.2,3000.0,1128.0,676.8,AMD,Pro1000-14,12.0,1000.0,2000.0,GDDR5,244.0,521.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Australia,100.0,"AX900-14, RT300-12",731.0,99.57,Type B,0.12,2000.0,541.0,129.84,AMD,Pro1000-15,4.0,2500.0,1500.0,GDDR5,137.0,240.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,50.0,"Elite4K-18, AX900-11, RT300-4, Elite4K-5",548.0,98.63,Type E,0.1,1000.0,1480.0,148.0,NVIDIA,Pro1000-16,16.0,2500.0,2000.0,GDDR6,162.0,934.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,10.0,Pro1000-19,423.0,99.23,Type E,0.2,1000.0,854.0,170.8,AMD,Pro1000-17,12.0,1500.0,2500.0,GDDR5,220.0,1413.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,50.0,"GX500-17, RT300-3",648.0,98.9,Type A,0.1,1000.0,1223.0,122.3,Intel,Pro1000-18,12.0,1500.0,2500.0,GDDR6,226.0,935.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,10.0,AX900-3,573.0,98.74,Type D,0.1,4000.0,1455.0,582.0,NVIDIA,Pro1000-19,16.0,2500.0,1500.0,GDDR6X,57.0,1058.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,100.0,"RT300-4, Pro1000-19, GX500-19",451.0,98.2,Type C,0.25,3000.0,828.0,621.0,NVIDIA,Pro1000-20,16.0,1000.0,1500.0,GDDR6,205.0,975.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Australia,200.0,AX900-7,345.0,98.35,Type C,0.25,2000.0,1387.0,693.5,Intel,Elite4K-1,4.0,1000.0,2000.0,GDDR6X,65.0,494.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,10.0,"RT300-15, Elite4K-8, Pro1000-16, Elite4K-9, Elite4K-14",717.0,99.22,Type A,0.15,5000.0,967.0,725.25,AMD,Elite4K-2,24.0,1000.0,3000.0,GDDR6X,96.0,620.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,200.0,"RT300-18, RT300-2",862.0,98.65,Type C,0.2,3000.0,538.0,322.8,AMD,Elite4K-3,16.0,2000.0,1500.0,GDDR5,287.0,745.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,10.0,"Pro1000-12, RT300-7, Elite4K-5",250.0,99.69,Type A,0.12,2000.0,882.0,211.68,AMD,Elite4K-4,12.0,2000.0,3000.0,GDDR5,283.0,558.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,10.0,"Elite4K-7, AX900-8, AX900-4, GX500-3",866.0,98.43,Type A,0.12,1000.0,1497.0,179.64,NVIDIA,Elite4K-5,24.0,1000.0,1500.0,GDDR5,147.0,585.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Australia,50.0,"GX500-10, Pro1000-2, GX500-11, Elite4K-4",226.0,99.53,Type B,0.15,5000.0,1251.0,938.25,NVIDIA,Elite4K-6,12.0,2500.0,2000.0,GDDR5,64.0,866.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,10.0,"Pro1000-17, Elite4K-13",850.0,99.48,Type B,0.1,1000.0,1204.0,120.4,Intel,Elite4K-7,16.0,1000.0,3000.0,GDDR5,219.0,220.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,500.0,"AX900-3, Elite4K-17, RT300-16",505.0,99.42,Type D,0.2,5000.0,972.0,972.0,NVIDIA,Elite4K-8,4.0,2500.0,3000.0,GDDR6,178.0,414.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,10.0,"GX500-12, GX500-1, RT300-5, RT300-9",172.0,99.7,Type D,0.25,2000.0,760.0,380.0,AMD,Elite4K-9,16.0,2500.0,3000.0,GDDR6X,244.0,651.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Australia,200.0,"Pro1000-8, RT300-6",899.0,98.11,Type E,0.12,2000.0,1169.0,280.56,Intel,Elite4K-10,16.0,2000.0,1500.0,GDDR5,238.0,1045.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,10.0,"RT300-8, GX500-2, RT300-17",307.0,98.83,Type A,0.12,3000.0,756.0,272.16,AMD,Elite4K-11,12.0,1000.0,1500.0,GDDR6X,196.0,491.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,200.0,"Elite4K-9, Elite4K-17, Pro1000-5, Pro1000-6",581.0,99.77,Type B,0.25,5000.0,1363.0,1703.75,NVIDIA,Elite4K-12,8.0,2500.0,3000.0,GDDR6,120.0,829.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,50.0,RT300-11,644.0,99.84,Type C,0.1,1000.0,780.0,78.0,NVIDIA,Elite4K-13,4.0,1000.0,3000.0,GDDR6X,107.0,601.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,100.0,"AX900-13, RT300-14, AX900-6",421.0,98.97,Type E,0.1,3000.0,553.0,165.9,Intel,Elite4K-14,8.0,2000.0,3000.0,GDDR6,133.0,516.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,200.0,"AX900-9, Elite4K-2",381.0,99.32,Type A,0.25,2000.0,860.0,430.0,AMD,Elite4K-15,4.0,2500.0,1500.0,GDDR6X,96.0,228.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,200.0,"Elite4K-10, Elite4K-19, GX500-16, Elite4K-18",800.0,98.28,Type E,0.15,5000.0,1239.0,929.25,Intel,Elite4K-16,8.0,2500.0,3000.0,GDDR6X,59.0,872.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,200.0,"GX500-16, RT300-13, AX900-1, GX500-7, Elite4K-12",510.0,99.98,Type A,0.2,5000.0,627.0,627.0,Intel,Elite4K-17,8.0,1000.0,2500.0,GDDR6,57.0,417.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,50.0,"GX500-2, Pro1000-19, RT300-13",565.0,99.97,Type A,0.12,4000.0,796.0,382.08,Intel,Elite4K-18,8.0,2000.0,1500.0,GDDR6,105.0,989.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,10.0,"Pro1000-11, AX900-12, Pro1000-15",362.0,98.49,Type E,0.25,2000.0,968.0,484.0,AMD,Elite4K-19,8.0,1500.0,2000.0,GDDR6,257.0,1477.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,100.0,"GX500-19, Elite4K-6",740.0,99.92,Type D,0.1,2000.0,737.0,147.4,Intel,Elite4K-20,16.0,2500.0,2000.0,GDDR5,55.0,344.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,50.0,"Elite4K-13, GX500-17",282.0,99.08,Type A,0.15,1000.0,856.0,128.4,,,,,,,,
Provider B,UK,1963,41240,24.15,Graphics Processing,Asia,10.0,"GX500-7, AX900-13, GX500-14, RT300-16, Pro1000-6",725.0,98.73,Type D,0.25,2000.0,665.0,332.5,,,,,,,,
Provider B,UK,1963,41240,24.15,Graphics Processing,Asia,10.0,Pro1000-10,1000.0,99.61,Type A,0.15,4000.0,1053.0,631.8,,,,,,,,
Provider B,UK,1963,41240,24.15,Graphics Processing,North America,50.0,GX500-9,771.0,99.38,Type C,0.2,1000.0,975.0,195.0,,,,,,,,
Provider B,UK,1963,41240,24.15,Graphics Processing,Europe,100.0,"RT300-18, RT300-3, Pro1000-5",161.0,99.74,Type E,0.12,2000.0,1429.0,342.96,,,,,,,,
Provider B,UK,1963,41240,24.15,Graphics Processing,Europe,500.0,"Pro1000-5, Pro1000-12",107.0,98.22,Type A,0.2,5000.0,884.0,884.0,,,,,,,,
Provider B,UK,1963,41240,24.15,Graphics Processing,South America,100.0,"Elite4K-7, RT300-12, GX500-10, RT300-2, Pro1000-17",173.0,99.9,Type D,0.15,1000.0,1103.0,165.45,,,,,,,,
Provider B,UK,1963,41240,24.15,Graphics Processing,Australia,500.0,"GX500-9, RT300-10, GX500-6, Pro1000-7",233.0,99.35,Type D,0.1,5000.0,847.0,423.5,,,,,,,,
Provider B,UK,1963,41240,24.15,Graphics Processing,South America,100.0,"RT300-11, RT300-9, Elite4K-6",263.0,99.16,Type C,0.1,4000.0,709.0,283.6,,,,,,,,
